sr_type,service_label,committed_days,stable_commitment,year_month,year,month_number,intake,duplicates,evaluable,on_time,open_overdue,median_days_to_close
REPAIR96,"RECYCLING, REPAIR 96",17,False,2023-01,2023,1,71.0,0.0,71.0,71.0,0.0,6.0
REPAIR96,"RECYCLING, REPAIR 96",17,False,2023-02,2023,2,71.0,0.0,71.0,71.0,0.0,6.0
REPAIR96,"RECYCLING, REPAIR 96",17,False,2023-03,2023,3,58.0,0.0,58.0,57.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR 96",17,False,2023-04,2023,4,63.0,0.0,63.0,63.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR 96",17,False,2023-05,2023,5,87.0,0.0,87.0,87.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR 96",17,False,2023-06,2023,6,86.0,1.0,85.0,85.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR 96",17,False,2023-07,2023,7,80.0,0.0,80.0,80.0,0.0,6.0
REPAIR96,"RECYCLING, REPAIR 96",17,False,2023-08,2023,8,97.0,0.0,97.0,97.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR 96",17,False,2023-09,2023,9,71.0,0.0,71.0,71.0,0.0,6.0
REPAIR96,"RECYCLING, REPAIR 96",17,False,2023-10,2023,10,63.0,0.0,63.0,63.0,0.0,6.0
REPAIR96,"RECYCLING, REPAIR 96",17,False,2023-11,2023,11,55.0,0.0,55.0,55.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR 96",17,False,2023-12,2023,12,59.0,0.0,59.0,59.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR 96",17,False,2024-01,2024,1,70.0,0.0,70.0,70.0,0.0,6.0
REPAIR96,"RECYCLING, REPAIR 96",17,False,2024-02,2024,2,102.0,0.0,102.0,102.0,0.0,6.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2024-03,2024,3,71.0,0.0,71.0,71.0,0.0,6.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2024-04,2024,4,81.0,0.0,81.0,81.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2024-05,2024,5,88.0,0.0,88.0,88.0,0.0,6.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2024-06,2024,6,81.0,0.0,81.0,79.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2024-07,2024,7,89.0,0.0,89.0,89.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2024-08,2024,8,112.0,1.0,111.0,111.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2024-09,2024,9,108.0,1.0,107.0,106.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2024-10,2024,10,120.0,0.0,120.0,120.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2024-11,2024,11,83.0,0.0,83.0,83.0,0.0,6.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2024-12,2024,12,96.0,0.0,96.0,96.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2025-01,2025,1,82.0,0.0,82.0,82.0,0.0,6.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2025-02,2025,2,136.0,0.0,136.0,136.0,0.0,6.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2025-03,2025,3,134.0,0.0,134.0,133.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2025-04,2025,4,127.0,0.0,127.0,127.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2025-05,2025,5,148.0,0.0,148.0,148.0,0.0,6.0
